name,lat,long
Abu,34.5,131.6
Acamarachi,-23.3,-67.62
Acatenango,14.501,-90.876
Acigol-Nevsehir,38.57,34.52
Adams,46.206,-121.49
Adatara,37.62,140.28
Adwa,10.07,40.84
Afdera,13.08,40.85
Agmagan-Karadag,40.275,44.75
Agrigan,18.77,145.67
Agua,14.465,-90.743
Agua de Pau,37.77,-25.47
Aguilera,-50.17,-73.83
Agung,-8.342,115.508
Ahyi,20.42,145.03
Akademia Nauk,53.983,159.45
Akademia Nauk,53.98,159.45
Akagi,36.53,139.18
Akan,43.38,144.02
Akhtang,55.43,158.65
Akita-Komaga-take,39.75,140.8
Akita-Yake-yama,39.97,140.77
Akuseki-jima,29.461,129.597
Akuseki-jima,29.45,129.6
Akutan,54.13,-165.97
Alaid,50.858,155.55
Alamagan,17.6,145.83
Alayta,12.88,40.57
"Albano, Monte",41.73,12.7
"Alcedo, Volcan",-0.43,-91.12
Ale Bagu,13.52,40.63
Alid,14.88,39.92
Alligator Lake,60.42,-135.42
Almolonga,14.82,-91.48
Alney-Chashakondzha,56.7,159.65
Alngey,57.7,160.4
Alu,13.82,40.55
Alutu,7.77,38.78
Amak,55.42,-163.15
Amasing,-0.55,127.5
Ambalatungan Group,17.32,121.1
Ambang,0.75,124.42
Ambitle,-4.08,153.65
Amboy,34.55,-115.78
Ambre-Bobaomby,-12.48,49.1
Ambrym,-16.25,168.12
Amorong,15.828,120.805
Amsterdam Island,-37.83,77.52
Amukta,52.5,-171.25
Anatahan,16.35,145.67
Anaun,56.32,158.83
Andahua Valley,-15.42,-72.33
Andrus,-75.8,-132.33
Aneityum,-20.2,169.83
Aniakchak,56.88,-158.17
Ankaizina Field,-14.3,48.67
Ankaratra Field,-19.4,47.2
Antillanca Group,-40.771,-72.153
Antipodes Island,-49.683,178.767
Antisana,-0.481,-78.141
Antofagasta de la Sierra,-26.08,-67.5
Antofagasta de la Sierra,-26.083,-67.5
Antofalla,-25.53,-68
Antuco,-37.406,-71.349
Aoba,-15.4,167.83
Aoga-shima,32.45,139.77
Apaneca Range,13.891,-89.786
Apastepeque Field,13.72,-88.77
Apo,6.987,125.273
Apoyeque,12.242,-86.342
Aracar,-24.27,-67.77
Aracar,-24.25,-67.767
Aragats,40.55,44.12
"Aramuaca, Laguna",13.428,-88.105
Ararat,39.7,44.28
Arayat,15.2,120.742
Ardoukoba,11.58,42.47
Arenal,10.463,-84.703
Arenales,-47.2,-73.483
"Arhab, Harra of",15.63,44.08
Arjuno-Welirang,-7.725,112.58
Arshan,47.5,120.7
Asama,36.4,138.53
Asavyo,13.07,41.6
Ascension,-7.95,-14.37
Askja,65.03,-16.75
Aso,32.88,131.1
Assab Volc Field,12.95,42.43
Asuncion,19.67,145.4
Atacazo,-0.353,-78.617
Atakor Volc Field,23.333,5.833
Atitlan,14.583,-91.186
Atka,52.38,-174.15
Atlasova,57.97,160.65
"Atlixcos, Cerro Los",19.809,-96.526
Atsonupuri,44.804,147.13
"Atuel, Caldera del",-34.65,-70.05
Auckland Field,-36.9,174.87
Augustine,59.37,-153.42
Avachinsky,53.255,158.83
Awu,3.67,125.5
Axial Seamount,45.95,-130
Ayelu,10.082,40.702
"Azufral, Volcan",1.08,-77.68
"Azul, Cerro",-0.9,-91.42
"Azul, Cerro [Quizapu]",-35.653,-70.761
"Azul, Volcan",12.53,-83.87
Azuma,37.73,140.25
Babuyan Claro,19.523,121.94
Bachelor,43.979,-121.688
Bagana,-6.14,155.195
Bakenin,53.905,158.07
Baker,48.786,-121.82
"Bal Haf, Harra of",14.05,48.33
Balatocan,8.8,124.92
Balbi,-5.83,154.98
Bald Knoll,37.328,-112.408
Baluan,-2.57,147.28
Baluran,-7.85,114.37
Balut,5.4,125.375
Bam,-3.6,144.85
Bamus,-5.2,151.23
Banahao,14.07,121.48
Banda Api,-4.525,129.871
Bandai,37.6,140.08
Banua Wuhu,3.138,125.491
Baransky,45.1,148.02
Barcena,19.3,-110.82
Bardarbunga,64.63,-17.53
Barkhatnaya Sopka,52.823,158.27
Barren Island,12.292,93.875
"Barrier, The",2.32,36.57
Baru,8.8,-82.558
Barva,10.135,-84.1
Bas Dong Nai,10.8,107.2
Batur,-8.242,115.375
"Bayo, Cerro",-25.42,-68.58
Bayonnaise Rocks,31.92,139.92
Bayuda Volc Field,18.33,32.75
